Question,Op1,Op2,Op3,Answer,Difficuly Level
Sei un dipendente junior in un'azienda che offre servizi informatici e consulenza La tua unità sta per concludere un nuovo accordo ma alla fine qualcosa va storto Cosa succede?,Tu o qualcun altro commettete un errore sul lavoro provocando una perdita di denaro all’azienda Ma sei sicuro che un manager esaminerà e discuterà l'errore con te o con il dipendente che ha commesso l'errore: l'obiettivo è capire cosa è andato storto e imparare a superare questi problemi tutti insieme,Hai commesso un errore significativo al lavoro Sei tranquillo: non succederà nulla l'azienda prima o poi si riprenderà Tutti commettono errori e può semplicemente succedere,Hai appena commesso un errore sul lavoro che farà perdere soldi all'azienda Sei abbastanza sicuro che riceverai un avvertimento formale perché sebbene tutti commettano errori è giusto riprendere i dipendenti quando falliscono: ognuno dovrebbe assumersi le proprie responsabilità,0,2
Sei un consulente tecnico non ancora molto esperto Anche se parli costantemente con i clienti della tua azienda non sei mai stato responsabile di alcun progetto Cosa succede se non c'è nessun altro in giro?,Un cliente abituale della tua azienda chiede uno sconto Ma tu sei un giovane e nessun altro è in giro Il tuo cliente cercherà lo stesso servizio altrove chiedendo a un tuo concorrente Sai che i dipendenti più giovani dovrebbero crescere e assumersi responsabilità Quindi approvi rapidamente lo sconto e comunichi la decisione ai tuoi manager in un secondo momento sei certo che apprezzeranno la tua crescente indipendenza nell'azienda,Un cliente abituale della tua azienda chiede uno sconto Ma tu sei solo e non esperto nessun altro è in giro Sai che il tuo cliente cercherà lo stesso servizio altrove chiedendo a un tuo concorrente Tu molto nervosamente approvi lo sconto in modo da vincere sui tuoi concorrenti rendendo felice il tuo cliente abituale Speri solo che i tuoi manager non siano arrabbiati con te,Un cliente abituale della tua azienda chiede uno sconto Ma tu sei solo e un impiegato minore nessun altro è in giro Sai che il tuo cliente cercherà lo stesso servizio altrove chiedendo a un tuo concorrente Tuttavia è meglio rimandare fino al ritorno del tuo manager non dovresti prendere decisioni da solo,0,1
Dopo la laurea o anche prima poco dopo il diploma di scuola superiore hai iniziato a lavorare Ti piace la tua indipendenza acquisita e sei sicuro di costruire competenze direttamente sul campo Tuttavia,Sei riuscito a ottenere un lavoro che ti piace Ma hai ancora un rimpianto: vuoi tornare a lezione per ottenere una laurea completa Il denaro è poco e non hai molto tempo libero Pensi che l'equilibrio delle cose sia la chiave: sei consapevole che al giorno d'oggi ci sono molte opportunità educative in vari formati compresi i formati blended e online Prima di investire denaro e sacrificare ciò che ti rende felice dopo il tuo duro lavoro indagherai qual è il miglior modello educativo per te,Sei riuscito a ottenere un ottimo lavoro che ti piace Ma hai ancora un rimpianto: vuoi davvero tornare a lezione andare avanti con la tua istruzione per ottenere una laurea completa Il denaro è poco e non hai molto tempo libero Ma sacrifichi felicemente i tuoi hobby gli amici e la famiglia dopotutto i soldi sono tuoi Vuoi davvero investire su te stesso e sulle tue competenze,Sei riuscito a ottenere un ottimo lavoro che ti piace Ma hai ancora un rimpianto: vuoi davvero riprendere le lezioni andare avanti con la tua istruzione per ottenere una laurea completa Ma i soldi sono poco di solito sei stanco dopo il lavoro e vuoi comunque trascorrere il tuo tempo libero facendo ciò che ti piace di più Dimentichiamoci della scuola per ora,0,2
L'unità Risorse umane della tua azienda si occupa costantemente del monitoraggio e delle revisioni interne Quindi verso dicembre è sempre tempo di feedback e possibili bonus Ma sai che è profondamente legato alla produttività di ogni dipendente,Sei consapevole che stanno arrivando i premi dei dipendenti e il riconoscimento pubblico con i nomi ben in vista Pensi che sia effettivamente controproducente: demoralizzerà solo i dipendenti non premiati,Sei consapevole che stanno arrivando i premi dei dipendenti e il riconoscimento formale Fantastico: i nomi dovrebbero essere pubblici e quindi la qualità dei premi Motiverà chi non riceverà alcun riconoscimento e bonus,Sei consapevole che stanno arrivando i premi dei dipendenti e il riconoscimento formale È fantastico ma solo su base trimestrale o addirittura annuale È ottimo avere una panoramica delle prestazioni dei dipendenti e identificare e premiare chi ha fatto il meglio ma teniamo nascosti i nomi Non è necessario creare concorrenza sui premi,0,2
La tua azienda offre servizi nel campo degli sviluppi IT e digitali Ci sono diverse unità ma l'azienda stessa non è esattamente grande Parlare di innovazione e nuove pratiche magari per un nuovo cliente con richieste specifiche di cui non sei sicuro,Pensi che sia giunto il momento di cercare pratiche e processi innovativi per la tua azienda Quindi scegli di chiederlo a consulenti – anche esterni – perché è quello per cui si sono formati e studiati,Pensi che sia giunto il momento di cercare pratiche e processi innovativi per la tua azienda Inizi a monitorare i clienti e a raccogliere i loro feedback: cosa c'è di meglio dei pensieri dell'utente finale?,Pensi che sia giunto il momento di cercare pratiche e processi innovativi per la tua azienda Proponi quindi di organizzare riunioni del personale per raccogliere feedback e pensieri dei dipendenti,0,2
Essendo la tua azienda non così grande né così piccola essendoci anche una bella competizione con i tuoi diretti concorrenti tu e il tuo PM pensate che tutti debbano essere al lavoro per sviluppare nuovi strumenti strategie efficaci servizi innovativi Così,La tua azienda deve essere aggiornta tenendo d'occhio la concorrenza Sei aggiornato ma grazie ai dipendenti il cui compito è nello specifico di studiare e ricercare nel campo dell'innovazione e della competitività È un compito dedicato e richiede competenze specifiche Una pratica comune nella tua azienda,La tua azienda deve essere aggiornata tenendo d'occhio la concorrenza Sei sicuro della qualità del tuo sforzo cerchi continuamente informazioni Dopotutto l'innovazione e la competitività sono qualcosa che ogni dipendente deve coltivare da solo,La tua azienda deve essere aggiornata tenendo d'occhio la concorrenza Per fare ciò un paio di dipendenti controllano ogni tanto le novità e i concorrenti Pensi che sia un buon modo per verificare pratiche innovative senza avere risorse dedicate,0,2
Scenario quotidiano: sei una risorsa junior ma ti capita di avere una buona rete a livello locale In questo modo faciliti il contatto tra i tuoi manager e nuovi possibili clienti Cosa succede dopo?,Grazie ai tuoi contatti privati hai portato un potenziale cliente nella tua azienda Pensi di dover essere coinvolto nel primo incontro purché siano richieste le tue competenze specifiche Niente a che vedere con la gentilezza,Grazie ai tuoi contatti privati hai portato un potenziale cliente nella tua azienda Anche se il contatto è tuo pensi che solo gli anziani in affari debbano partecipare al primo incontro non tu,Grazie ai tuoi contatti privati hai portato un potenziale cliente nella tua azienda Pensi di dover essere coinvolto nel primo incontro anche se sei giovane per cortesia sul posto di lavoro,0,2
Lavorare da soli o lavorare in team? A volte senti che puoi essere ancora più veloce nel consegnare ciò che viene richiesto se fossi da solo A volte fai davvero fatica perché ritieni che la tua unità sia a corto di personale Cosa succede quando c'è un nuovo compito?,C'è qualcosa di nuovo in arrivo: un nuovo progetto prodotto servizio Pensi che la squadra ideale sia composta da    fino a quattro persone in modo da creare un'unità con equa distribuzione dei compiti secondo le competenze specifiche dei dipendenti,C'è qualcosa di nuovo in arrivo: un nuovo progetto prodotto servizio Pensi che la squadra ideale sia composta da    anche dieci persone o più Con appuntamenti settimanali di follow-up che possono coinvolgere l'intera azienda Tutti dovrebbero essere consapevoli di ciò che sta accadendo anche in altre unità,C'è qualcosa di nuovo in arrivo: un nuovo progetto prodotto servizio Pensi che la squadra ideale sia composta da    solo una persona È meglio assegnare a un solo dipendente l'intera attività in modo che possa avere il pieno controllo su di essa,0,1
Innovazione scoperte attività orientate alla ricerca: cosa ne pensi? Le aziende potrebbero rimanere indietro senza pratiche innovative,Pensi che la tua azienda manchi abbastanza di prodotti innovativi e sia leggermente indietro I manager quindi stabiliscono da soli una chiara lista di priorità aziendali assegnando budget specificamente alla ricerca innovazione e competitività ad esempio assumendo nuove persone,Pensi che la tua azienda manchi abbastanza di prodotti innovativi e sia leggermente indietro Forse i manager dovrebbero assegnare a un paio di dipendenti il compito di valutare il problema insieme ai loro compiti precedenti,Pensi che la tua azienda manchi abbastanza di prodotti innovativi e sia leggermente indietro Forse i dipendenti possono fare un hackathon un momento mensile per verificare i concorrenti e cosa c'è di innovativo nel mercato,0,2
Ti arrabbi quando qualcuno ti chiede di fare qualcosa che chiaramente non sei in grado di fare Le identità visive le presentazioni sono strumenti molto importanti ma le persone spesso pensano che siano facili da realizzare Un giorno il tuo PM ti chiede di fare una presentazione per un servizio che stai per presentare a un nuovo cliente,Non sei un grafico Ma una nuova attraente presentazione dell'azienda deve essere fatta È decisamente meglio spendere un po' di soldi in servizi esterni rivolgendosi a un grafico vero e proprio: il prodotto sarà riutilizzabile levigato,Non sei un grafico Eppure il tuo manager ti dice di sviluppare qualcosa di semplice per l'azienda non c'è bisogno di investire molto tempo su di esso,Non sei un grafico Ma una nuova attraente presentazione dell'azienda deve essere fatta E probabilmente di più in futuro insieme ad altri piccoli prodotti grafici ogni tanto È secondo te il momento di assumere una risorsa dedicata Dopotutto è una questione che si ripete!,0,1
